Age,TV
30,270
53,0
38,183
34,185
18,150
40,0
46,315
32,130
38,492
29,0
45,165
52,180
15,0
19,195
36,120
25,220
46,0
33,300
57,0
55,0
36,0
37,155
60,0
34,250
38,240
30,0
74,75
48,40
16,210
61,180
36,30
31,250
37,317
43,180
29,230
46,595
39,620
31,70
42,0
24,20
50,60
71,70
55,150
52,150
34,90
27,383
64,450
56,0
61,370
61,0
50,180
40,70
54,0
48,155
19,105
44,0
19,80
66,155
69,250
16,240
73,210
35,105
34,120
41,150
30,105
26,120
54,0
44,63
23,125
31,65
50,90
29,314
37,65
43,60
42,565
69,395
76,380
27,0
43,30
15,245
63,385
38,30
29,0
35,20
54,0
44,0
35,90
17,384
56,165
34,215
52,0
22,0
30,50
54,30
17,0
39,155
74,255
46,180
28,0
42,735
60,0
22,435
38,510
24,0
52,75
30,170
37,450
31,0
15,105
27,111
21,145
56,120
38,0
44,345
32,0
35,180
43,105
33,470
48,60
37,0
49,0
36,60
49,300
57,180
71,380
50,0
52,120
69,120
20,180
30,0
29,0
58,0
35,190
75,280
41,240
48,210
31,0
34,150
36,28
25,60
48,45
57,0
46,270
52,165
31,0
36,0
42,120
27,434
28,0
54,35
39,0
62,190
42,0
44,179
39,0
57,0
36,30
31,90
23,120
17,217
32,205
38,60
16,435
41,420
47,120
16,0
33,60
64,60
47,0
43,0
58,40
58,712
67,280
63,310
41,0
31,240
80,60
33,180
49,90
23,165
30,0
75,305
41,70
32,120
43,30
22,105
24,102
57,375
25,170
48,70
50,30
50,330
27,640
39,355
28,0
40,330
49,0
50,0
25,165
33,60
56,570
31,0
30,85
46,360
43,137
29,180
37,0
33,50
71,280
38,20
30,600
43,825
49,149
35,0
66,150
43,0
39,50
68,200
63,245
68,705
56,150
22,690
44,260
23,405
18,0
48,480
39,510
43,426
72,231
77,60
32,315
19,595
51,60
36,30
48,60
69,670
52,260
29,30
22,0
44,165
46,90
19,235
33,60
31,195
72,300
32,620
54,180
50,100
61,300
34,120
22,240
33,255
21,120
15,0
64,240
22,0
40,181
38,105
30,180
18,405
68,389
68,90
41,60
27,90
57,120
21,0
64,240
77,570
54,120
77,218
43,0
67,300
77,310
34,0
30,432
39,240
57,45
47,84
28,180
41,30
57,0
80,298
28,180
36,25
30,60
75,60
49,435
28,90
34,150
16,0
77,0
35,0
43,95
39,140
71,240
24,0
33,220
50,0
16,255
25,319
32,98
43,60
80,210
18,320
52,195
47,250
48,235
36,60
38,270
26,28
38,45
59,0
60,220
19,70
56,220
41,0
45,75
26,160
23,315
36,65
16,330
46,0
26,90
57,240
31,185
24,30
21,120
18,0
59,45
51,285
32,150
48,210
75,200
32,170
21,510
43,0
54,440
32,0
17,120
33,255
19,0
37,668
23,95
21,295
20,0
28,160
16,100
39,0
51,165
26,320
15,90
43,0
23,0
50,170
50,40
57,0
30,225
49,120
55,0
46,192
48,395
31,190
35,0
41,240
43,300
45,0
28,100
40,0
18,408
44,80
56,455
44,0
48,70
31,145
31,120
36,76
56,138
62,0
55,90
75,282
33,270
16,120
19,60
50,62
39,40
38,300
47,210
45,180
67,490
44,385
37,150
27,0
34,0
27,90
55,0
33,450
25,60
21,80
80,240
43,140
59,615
76,100
59,70
27,0
44,0
80,360
37,135
35,0
41,30
37,165
38,285
43,200
55,716
39,0
17,105
41,90
34,110
53,210
75,20
34,105
21,140
80,0
28,216
65,675
41,158
43,325
34,0
25,0
41,0
21,540
80,810
33,20
38,0
36,215
40,75
31,120
23,0
31,165
37,0
48,15
80,180
80,285
78,820
80,480
79,0
47,180
40,90
19,645
37,0
33,230
57,430
55,810
53,0
67,550
58,310
80,195
26,150
59,847
47,975
67,214
16,0
16,180
36,0
41,120
19,270
33,390
42,118
52,60
73,0
80,690
31,90
52,355
41,180
28,0
70,0
36,0
17,210
18,120
28,91
69,197
56,158
48,120
27,80
34,180
69,0
55,120
28,0
80,375
80,165
45,225
16,90
44,173
61,60
21,215
45,395
38,0
45,194
32,485
69,300
30,25
66,450
19,55
19,135
43,199
40,30
27,353
80,120
80,240
52,510
66,0
64,475
42,279
16,245
70,180
80,360
21,67
60,245
31,70
42,0
32,210
56,120
42,140
73,405
44,280
33,103
55,0
42,585
51,0
15,95
61,75
63,220
27,15
36,0
37,90
72,330
57,121
47,330
40,278
71,70
24,0
43,90
44,120
57,130
52,140
45,150
28,0
43,180
15,825
57,130
41,55
37,344
80,540
60,445
53,120
57,290
69,610
48,213
48,195
47,180
30,60
42,90
33,120
22,360
66,325
31,355
43,225
42,525
39,0
70,740
58,365
40,30
48,150
35,200
47,275
67,405
47,90
62,300
54,570
25,330
46,255
39,121
45,120
42,225
22,15
33,13
43,30
58,95
28,210
48,25
42,28
51,89
57,120
25,290
33,349
65,180
44,40
61,760
66,290
45,155
48,259
29,456
33,0
46,30
32,90
59,0
50,175
40,30
25,202
33,555
54,175
73,210
31,180
30,145
32,0
38,215
29,290
43,30
28,0
31,630
53,330
44,150
64,740
43,105
60,120
21,150
49,90
43,0
53,0
80,240
80,120
33,30
50,445
31,845
17,0
34,340
16,60
33,0
56,204
38,20
49,135
67,355
31,83
31,0
50,0
80,0
74,90
80,300
65,395
52,455
43,180
32,158
22,10
30,630
48,30
28,465
27,205
33,740
47,120
35,310
33,0
36,150
71,0
27,60
17,296
16,210
39,200
25,60
70,30
75,190
43,208
54,120
26,420
16,300
16,150
19,0
37,120
54,30
49,180
33,0
42,170
30,160
41,105
65,540
48,260
51,230
47,286
25,165
41,205
79,275
31,360
28,342
27,150
48,784
70,0
47,60
48,180
56,184
49,90
52,285
41,310
33,0
71,20
30,350
17,338
45,357
26,0
68,230
34,0
25,70
68,30
78,120
25,350
52,270
79,790
37,140
35,255
74,420
34,130
73,550
24,120
40,0
59,120
56,30
18,25
45,170
53,274
66,0
33,0
36,73
44,0
45,575
16,790
69,246
50,0
45,280
73,330
56,0
60,424
30,90
21,120
77,60
28,300
80,280
68,0
44,0
40,30
38,90
33,265
74,160
54,105
16,160
48,135
51,60
46,0
30,275
54,20
25,250
31,119
32,146
80,0
42,310
30,170
39,90
31,0
80,495
70,0
57,0
59,90
49,90
67,715
34,205
16,0
47,60
58,75
37,0
49,50
41,98
43,315
70,180
39,95
47,457
15,600
38,223
34,345
78,310
41,370
41,272
37,130
32,145
80,215
55,60
45,120
35,120
47,180
80,60
50,0
47,235
30,65
45,210
33,215
74,363
68,145
31,0
29,90
77,100
80,0
47,490
15,0
76,0
57,465
36,0
76,670
43,120
42,90
35,60
23,90
31,110
30,60
36,225
37,415
64,610
68,385
40,370
43,135
20,160
34,30
63,0
50,150
55,0
79,15
59,0
56,0
62,399
34,105
42,60
49,200
79,575
47,100
48,220
55,110
36,82
21,120
66,0
31,0
41,50
43,135
37,520
80,370
43,95
30,45
40,0
30,120
27,210
58,150
15,150
48,0
41,30
52,170
54,85
37,180
43,240
52,140
21,240
57,0
45,470
52,420
44,150
35,30
35,120
30,30
46,60
75,555
64,300
80,638
51,620
80,180
80,120
48,30
73,30
19,15
80,345
41,125
47,0
31,0
15,270
57,699
40,7
19,280
35,60
75,332
43,280
69,230
50,319
50,375
16,360
80,488
21,371
59,78
50,415
32,0
31,60
48,265
54,465
58,190
61,486
24,90
40,150
50,45
41,130
26,260
36,455
67,0
61,147
26,0
58,0
26,120
54,0
16,70
28,260
41,0
39,135
26,0
54,120
29,345
49,70
80,120
33,120
30,0
55,250
39,163
41,120
19,0
44,455
47,0
48,0
23,30
47,414
61,545
41,0
16,195
71,250
37,480
47,0
50,0
80,454
41,0
55,45
23,368
65,115
50,30
39,75
19,235
49,0
19,120
39,610
68,0
15,125
32,145
57,165
40,60
41,230
38,140
30,0
17,60
41,355
16,65
15,330
31,150
48,0
60,205
43,50
34,0
22,365
50,60
47,75
61,280
62,0
24,0
60,0
38,120
65,285
55,142
28,240
26,240
44,35
16,10
27,0
26,291
37,135
42,30
47,213
75,575
18,175
54,0
54,725
27,180
17,62
34,120
80,340
47,480
51,845
67,293
61,143
59,120
42,0
57,120
28,0
41,210
66,60
80,180
80,550
46,14
29,0
61,225
43,115
25,120
17,0
39,125
59,270
61,130
54,198
48,430
42,470
32,100
33,115
17,120
47,430
41,274
36,55
72,150
43,157
68,683
28,0
19,280
41,220
32,450
46,120
26,0
75,405
66,255
62,0
38,0
33,15
62,0
44,270
46,150
46,315
38,148
21,123
60,360
33,120
78,210
40,235
41,300
33,0
55,55
35,530
32,120
61,60
40,0
60,105
35,0
36,240
58,630
47,475
37,470
54,219
69,775
33,0
40,190
41,130
44,95
58,178
36,0
48,105
25,100
31,94
18,60
36,0
38,230
51,615
53,45
31,60
58,80
43,55
67,120
38,0
72,0
39,340
74,0
57,120
38,0
53,390
15,0
30,360
58,198
47,30
18,385
78,90
65,30
60,20
28,0
38,0
72,560
58,210
20,85
61,430
61,630
33,0
67,195
71,362
47,60
52,508
65,430
57,0
45,170
55,130
34,120
51,347
29,0
80,0
65,360
21,60
58,330
40,0
64,60
50,150
66,385
80,120
43,270
72,90
46,675
38,270
44,260
25,70
53,210
43,478
26,560
63,490
48,130
45,120
45,0
34,0
78,120
52,173
47,135
46,0
62,535
63,120
45,252
45,360
33,550
35,380
77,495
39,131
44,150
32,200
36,300
24,180
59,0
75,270
37,630
30,120
32,0
70,405
19,490
30,180
53,210
21,30
35,0
63,435
66,440
80,208
80,165
73,340
75,445
47,105
52,565
70,515
45,655
28,0
63,180
58,110
39,240
39,150
21,205
17,0
39,60
38,0
56,192
41,930
69,240
79,475
55,0
44,75
49,300
79,105
80,465
78,145
62,645
52,290
47,0
54,0
80,180
80,300
80,571
54,65
69,170
42,825
48,150
19,655
31,0
49,180
43,60
44,90
28,181
32,90
57,125
53,115
29,270
22,420
16,0
52,120
78,360
50,0
33,0
47,0
15,0
77,240
54,150
75,270
21,220
49,490
68,370
45,120
29,0
80,60
44,62
45,130
44,205
39,205
43,120
61,0
37,225
72,610
49,255
44,315
40,210
51,240
78,320
36,270
47,180
15,90
29,190
34,0
29,666
80,465
39,95
35,90
15,210
65,343
39,307
32,180
70,330
33,230
48,180
42,20
56,180
37,0
64,285
76,370
18,535
38,60
36,0
41,270
66,0
71,105
42,180
68,210
53,0
15,0
73,30
52,54
26,120
42,515
71,105
50,80
53,365
72,310
48,20
29,180
44,30
71,340
20,150
45,370
46,60
16,0
34,300
18,211
61,180
31,125
23,60
15,0
47,320
17,0
42,75
51,0
38,160
53,0
57,60
75,325
77,570
43,0
22,210
59,0
67,540
39,100
74,75
62,30
41,0
69,0
52,25
38,0
37,510
21,15
66,135
75,120
47,0
69,180
23,35
61,187
51,285
48,180
54,105
52,205
28,90
63,30
66,435
49,220
60,230
50,30
25,120
44,10
53,330
41,0
38,240
41,180
31,60
21,0
66,0
41,73
37,0
30,300
59,341
41,0
32,204
68,0
36,120
47,128
39,424
80,280
69,330
16,215
43,90
52,90
36,15
35,0
80,295
36,0
48,120
40,35
34,610
48,180
64,185
57,90
52,330
30,315
30,61
50,0
34,75
60,180
17,0
39,0
41,0
24,120
52,165
45,150
46,348
66,510
30,450
38,398
41,165
18,225
54,250
59,180
49,405
17,660
31,271
79,485
40,45
44,0
65,675
32,125
29,150
16,315
73,0
42,705
22,310
67,170
37,325
42,0
41,0
46,0
24,0
61,235
30,320
46,60
40,0
29,240
15,20
54,340
22,0
31,270
35,10
33,0
22,220
31,220
40,60
17,361
53,90
75,285
79,145
36,515
59,470
58,130
56,300
41,60
30,0
33,120
72,500
29,280
20,275
42,540
78,95
61,0
38,130
23,0
80,410
37,25
70,380
21,145
23,120
17,520
55,30
43,120
80,430
56,0
62,253
35,60
33,450
25,240
76,0
34,40
41,60
32,75
25,120
33,58
58,240
48,90
59,120
17,270
36,150
61,75
59,430
36,235
44,170
71,0
40,300
36,60
36,90
56,0
65,0
29,0
43,370
53,0
39,0
40,0
41,500
50,0
33,120
62,585
17,0
55,110
23,420
68,20
56,120
59,0
23,285
18,105
20,53
49,0
16,153
42,75
32,205
47,450
78,210
74,235
74,0
60,240
15,120
23,300
38,0
33,368
80,275
37,70
74,180
37,90
56,0
44,225
51,0
58,175
32,0
44,190
27,162
56,60
49,610
16,210
35,71
32,150
15,195
61,240
58,635
66,570
34,127
42,835
49,422
43,177
29,0
30,90
31,150
37,150
20,0
28,250
64,120
37,120
16,220
42,323
34,120
58,85
26,30
55,220
23,130
56,755
22,120
47,420
34,475
22,30
19,60
44,420
39,60
42,533
25,160
15,0
23,465
22,210
35,150
20,445
27,118
54,769
80,240
62,195
29,160
40,80
50,105
58,0
43,240
34,60
19,360
42,230
36,688
35,0
80,405
61,321
68,90
66,0
26,480
29,280
34,95
71,595
62,30
50,77
59,240
80,270
36,0
40,180
52,638
41,60
42,190
43,120
40,45
34,195
17,0
40,150
79,330
41,45
29,90
39,65
41,180
51,0
27,0
55,0
57,0
57,60
29,510
22,185
41,180
16,160
80,487
80,210
49,60
41,280
58,330
34,315
71,95
48,285
29,390
25,45
74,714
15,150
75,0
40,40
37,143
34,20
53,350
80,60
18,215
34,0
55,0
24,90
52,675
80,340
49,265
17,0
30,400
46,0
42,105
45,410
79,60
23,20
37,0
43,0
45,405
28,0
40,165
80,275
80,205
20,180
70,164
27,0
44,0
60,0
44,315
37,90
47,30
41,0
76,320
23,0
17,360
52,330
57,419
30,0
25,351
17,330
33,180
33,130
60,480
55,120
50,220
39,90
27,30
48,140
66,200
25,675
30,0
76,30
18,225
49,599
69,930
48,0
42,0
15,0
40,295
21,210
26,60
46,660
19,120
27,270
37,50
55,120
80,253
19,120
38,200
55,460
56,90
43,0
33,190
55,270
35,60
17,90
68,0
32,100
43,0
51,0
79,90
36,0
23,0
21,0
61,425
39,243
40,423
69,245
31,45
31,45
35,30
30,30
16,120
80,0
48,165
34,340
38,135
44,60
70,120
57,58
38,130
77,120
35,670
42,270
61,230
77,165
48,0
17,180
79,250
20,180
25,125
54,466
51,0
58,45
56,90
53,30
48,70
47,485
33,205
15,135
47,75
16,90
34,90
33,80
53,120
62,225
44,445
31,120
34,721
33,4
23,210
43,0
80,0
69,195
61,0
22,150
73,793
77,150
31,0
43,125
35,82
33,75
58,0
69,180
65,1041
80,290
68,100
77,0
35,60
18,240
33,100
31,30
59,260
46,284
43,520
34,0
40,90
18,60
49,120
26,198
35,240
46,0
54,185
57,110
79,410
80,405
32,0
40,120
48,455
15,360
48,225
80,20
69,295
43,415
56,90
22,245
18,210
26,0
22,120
70,280
31,0
32,0
44,163
28,0
41,0
69,150
45,0
55,180
35,0
54,750
15,0
62,270
22,0
25,90
24,65
75,246
15,0
16,105
51,0
74,0
46,0
51,210
47,158
45,0
55,0
50,315
51,490
35,205
42,240
49,0
37,0
43,0
70,90
38,65
47,105
71,220
33,0
15,120
55,290
36,120
63,75
22,0
38,45
40,0
16,120
74,195
44,180
20,165
32,148
59,0
45,45
16,385
56,66
44,25
15,180
26,221
33,530
80,423
32,0
63,150
16,402
15,370
32,240
63,100
65,15
74,45
63,75
40,165
26,30
34,130
34,0
53,80
52,240
58,185
70,328
33,0
33,60
42,205
74,640
25,146
17,0
46,92
62,120
17,198
15,0
33,90
50,90
39,60
38,120
80,90
38,0
38,105
51,60
49,80
64,210
47,305
59,630
27,0
49,95
76,260
42,130
75,480
27,210
50,310
24,75
22,30
15,90
39,195
47,90
48,60
24,0
69,600
75,415
40,120
67,273
44,277
16,342
51,150
50,270
39,448
24,247
56,545
47,150
63,150
74,394
15,60
58,210
25,540
24,264
53,670
70,300
36,355
44,30
42,0
41,120
29,123
40,555
48,234
56,185
37,197
49,400
26,130
63,0
57,180
39,140
40,213
52,20
27,45
16,235
27,315
32,0
53,25
61,60
33,180
44,180
31,90
42,400
74,277
31,20
15,0
46,75
40,0
18,30
16,110
73,120
35,120
55,0
54,274
68,600
18,165
80,270
57,300
44,350
35,195
52,95
65,290
33,648
41,55
72,390
16,120
62,120
39,15
46,90
80,0
56,0
33,0
55,572
20,0
34,310
73,418
68,810
70,120
49,20
18,295
68,278
15,464
45,180
59,120
57,0
29,100
36,120
60,77
34,215
67,60
16,0
72,90
56,0
28,120
50,520
29,220
56,430
32,180
16,386
62,210
59,155
37,120
27,90
17,60
44,0
35,0
35,0
39,260
42,60
39,120
31,201
40,0
48,195
69,150
40,0
65,0
80,120
65,60
16,240
58,120
69,270
80,415
40,280
77,525
16,139
44,730
58,90
49,30
60,305
80,375
37,15
32,180
45,0
39,140
22,30
35,0
65,0
47,91
26,0
80,270
58,55
35,210
38,0
49,850
30,275
53,0
51,400
18,0
59,300
26,120
42,138
45,0
37,165
29,115
23,0
38,160
66,240
45,120
77,210
41,0
45,120
29,30
80,160
65,145
37,0
46,0
39,220
43,270
29,0
19,0
27,0
40,0
37,60
42,95
45,70
32,160
60,335
41,108
33,50
49,90
37,115
73,180
26,155
24,310
40,90
46,228
30,0
54,412
59,30
35,740
37,90
29,270
71,330
63,345
48,0
29,325
53,642
55,60
41,15
65,105
40,465
65,45
36,165
80,60
47,205
54,150
38,135
50,215
55,65
51,0
43,225
80,238
73,30
17,60
32,92
70,0
29,180
23,35
78,315
49,30
56,210
76,240
76,30
22,150
59,160
38,0
80,880
49,264
29,90
17,0
51,430
52,0
18,260
21,330
39,107
42,0
56,30
50,493
56,28
34,240
72,30
61,77
49,25
76,340
26,158
50,240
35,240
47,560
17,70
49,55
39,45
68,360
75,300
68,220
65,30
58,295
45,285
78,265
75,385
78,230
74,180
31,130
39,755
37,120
49,120
37,0
30,0
40,78
37,215
62,210
35,325
73,100
48,50
47,120
50,0
44,385
16,0
33,0
33,140
73,0
60,160
59,60
60,840
45,0
26,150
26,120
50,388
49,210
37,189
40,120
54,240
31,80
39,115
56,60
67,80
76,30
41,0
17,410
34,425
80,130
35,450
42,75
60,170
17,0
80,0
16,120
37,360
28,140
58,90
74,60
80,165
36,180
19,210
26,195
45,120
50,0
41,190
37,135
59,315
60,310
26,180
30,440
80,345
42,300
19,120
43,200
80,452
32,0
76,317
67,210
38,110
80,165
24,0
38,0
77,510
52,90
35,105
27,90
16,119
40,95
50,325
25,123
53,0
63,660
38,305
69,360
80,170
19,195
49,825
24,0
74,345
43,0
78,70
21,20
39,30
22,105
39,15
39,313
17,315
40,0
35,364
27,90
37,60
25,0
51,565
36,15
54,15
25,0
47,0
41,0
29,89
32,140
80,270
64,553
23,75
42,0
41,360
48,223
64,460
32,210
30,419
20,100
52,0
80,210
51,309
35,45
16,843
43,0
24,30
44,15
47,90
78,515
41,0
34,60
70,0
27,0
40,180
37,0
48,15
31,160
35,255
34,0
34,180
47,162
73,63
31,120
30,180
63,148
32,0
33,210
52,60
55,220
59,345
78,100
36,2
66,195
80,581
42,345
44,110
17,435
66,735
51,60
45,0
17,195
53,15
59,270
43,0
54,120
64,239
32,270
22,30
65,673
45,450
49,660
38,90
30,300
31,240
29,238
78,605
51,120
33,85
38,160
40,320
22,105
69,165
67,0
46,209
36,60
42,0
57,55
40,55
80,120
43,315
47,120
39,219
64,40
24,15
80,120
50,0
29,155
59,105
33,155
39,0
46,630
26,15
62,0
28,103
57,190
50,140
43,750
19,360
22,280
27,507
16,125
16,20
78,65
80,0
65,0
47,0
72,600
71,180
55,30
30,120
17,0
54,290
35,120
80,275
58,223
27,300
63,195
61,177
30,71
53,0
42,310
43,0
53,60
16,60
54,210
43,0
80,510
15,90
49,155
73,55
35,60
48,60
59,0
31,240
43,70
41,390
42,120
41,0
33,75
71,60
44,0
50,60
29,195
44,45
66,250
39,0
75,0
68,205
43,126
26,0
50,165
80,345
55,210
80,265
52,115
74,345
78,270
30,120
75,210
38,0
38,0
28,0
53,135
50,135
44,240
39,0
32,180
56,121
61,0
47,0
80,485
35,0
57,60
30,105
37,0
35,60
25,175
26,60
35,20
23,345
57,138
36,0
41,0
60,0
51,170
74,360
46,30
29,87
43,45
80,380
43,45
77,256
28,120
78,240
21,440
50,170
45,460
75,250
41,40
80,210
39,169
26,275
21,298
34,85
57,0
33,120
42,0
64,450
27,660
59,210
26,0
40,100
41,90
50,0
39,30
43,90
55,85
65,0
48,255
66,240
50,165
32,0
28,210
37,295
45,225
80,320
38,120
18,60
37,240
18,0
68,257
57,135
60,525
59,60
75,165
80,270
47,300
74,150
47,294
65,300
61,70
42,230
46,240
25,360
78,110
17,280
38,71
27,225
31,75
50,120
31,0
49,195
18,120
35,135
65,270
51,620
66,480
50,75
54,60
20,120
31,23
42,255
32,60
25,125
65,385
62,80
28,145
56,132
36,0
28,390
15,270
57,445
48,180
53,330
50,0
58,145
18,0
80,0
53,225
74,300
42,145
69,0
58,765
28,60
65,920
15,0
64,480
45,205
54,120
37,115
73,275
59,20
39,240
36,60
52,75
63,130
38,149
45,15
46,320
43,65
59,0
41,145
52,145
55,0
21,0
62,170
27,0
80,105
31,180
41,85
27,330
40,60
28,135
55,400
17,148
66,194
19,0
77,75
18,150
49,255
69,150
18,180
31,210
35,656
80,255
50,715
75,405
53,0
17,0
40,120
56,360
40,0
19,180
48,600
27,340
21,299
16,0
67,180
53,160
80,285
39,0
63,340
46,0
37,30
69,255
25,0
55,120
80,360
75,255
21,40
47,328
22,190
38,90
36,0
64,230
34,15
26,120
64,165
55,0
42,215
29,0
24,335
27,130
41,60
49,30
43,110
55,250
15,120
43,85
29,60
41,0
57,0
38,60
38,165
31,270
51,42
45,0
49,200
37,35
20,0
16,50
64,0
71,110
31,125
31,195
64,237
47,264
45,0
48,244
80,764
38,210
37,0
53,210
30,180
29,90
52,180
30,150
55,180
39,90
46,120
62,248
46,115
60,10
54,605
65,643
66,340
75,170
29,240
51,180
67,180
53,60
38,344
40,810
34,0
33,270
69,210
61,95
40,39
18,70
15,204
17,170
24,210
43,450
80,563
31,201
72,360
48,204
58,325
34,0
53,140
48,180
64,452
74,340
74,380
45,15
21,0
71,0
42,60
35,0
18,200
48,60
63,701
32,0
52,188
46,60
42,0
73,60
46,560
26,0
62,317
21,180
28,90
42,385
39,205
80,0
60,220
15,189
63,396
74,135
18,240
16,300
76,240
44,307
79,445
25,235
36,470
79,120
15,0
70,120
76,720
43,229
75,545
53,120
36,310
46,135
31,30
29,145
29,60
38,0
65,165
59,0
58,90
49,430
22,30
57,345
19,0
16,302
55,195
50,80
46,120
40,60
33,0
80,90
32,100
62,165
64,210
66,189
16,315
28,172
38,58
72,130
43,145
80,30
35,175
37,75
74,60
47,380
34,56
67,60
52,370
75,375
43,0
53,311
39,60
34,0
37,130
48,60
56,160
57,195
80,437
61,165
41,275
39,0
16,240
27,195
16,146
37,174
45,120
80,60
58,450
44,314
54,192
38,495
70,375
32,0
68,300
37,60
31,55
65,150
46,215
15,140
24,180
67,293
46,90
35,120
80,180
63,60
33,59
33,555
65,335
30,180
65,250
45,0
50,130
38,30
42,400
49,395
16,190
53,390
65,120
63,135
22,0
73,650
68,60
55,210
38,268
60,25
37,0
45,155
40,90
30,225
37,30
62,160
25,80
80,805
43,0
16,15
68,290
75,543
45,120
51,90
50,0
71,355
62,792
40,180
63,150
32,0
39,240
61,300
62,60
64,0
35,305
60,660
67,885
38,0
74,475
52,0
33,90
31,90
71,35
26,60
55,200
18,0
29,540
38,0
69,270
55,150
32,315
34,50
66,552
46,30
35,60
37,247
28,0
75,480
64,0
67,0
17,120
55,0
58,250
30,303
80,285
45,220
37,90
57,0
29,290
33,115
37,120
22,120
32,55
31,60
16,60
43,0
40,195
58,608
21,120
30,10
38,0
38,108
63,245
44,30
34,215
73,99
34,0
64,295
62,0
40,60
24,450
24,360
59,30
41,60
15,100
56,446
39,0
32,0
26,0
37,50
24,220
24,130
35,80
44,240
19,25
36,0
23,30
30,30
19,60
71,0
45,60
21,0
44,90
46,60
47,405
20,40
71,234
34,60
58,0
38,0
64,215
44,329
45,0
63,192
62,190
32,0
80,685
39,0
47,0
63,165
49,0
33,0
47,0
39,128
48,120
36,115
25,105
36,105
26,240
22,0
42,120
48,260
37,0
44,0
71,60
17,0
28,240
20,0
33,0
26,175
31,0
80,300
58,485
25,135
53,120
37,250
51,60
49,270
31,0
31,90
31,0
72,55
47,0
37,150
36,265
34,150
25,240
79,100
17,0
22,118
22,890
70,150
47,640
43,0
71,300
40,0
36,0
65,30
23,90
79,420
37,44
29,60
33,402
39,298
32,300
80,220
53,60
55,555
44,30
18,100
39,0
59,120
31,235
52,0
28,210
39,375
29,324
33,210
32,0
58,0
46,0
39,195
42,120
78,315
23,225
60,230
46,0
46,281
42,60
49,65
40,0
49,285
15,280
45,180
31,155
32,285
24,30
61,60
42,0
20,45
55,0
72,30
72,315
18,60
62,220
78,0
31,194
45,0
69,775
20,30
37,245
30,610
34,120
32,555
24,150
56,0
58,0
38,185
35,0
15,60
39,210
45,0
62,60
48,40
52,195
37,73
19,60
32,180
36,65
66,225
77,0
36,185
38,80
52,178
42,120
31,105
20,150
49,135
23,5
15,0
39,60
53,0
33,330
53,225
24,120
62,0
62,0
66,63
57,269
38,0
67,240
44,605
38,28
59,65
79,0
41,0
32,135
28,179
53,150
18,0
75,365
50,0
39,150
35,220
37,245
51,159
62,0
56,290
60,0
29,0
35,210
40,280
57,180
25,90
28,180
43,0
30,0
18,202
32,0
30,175
34,120
45,330
26,85
18,0
32,150
38,45
49,728
46,130
23,50
33,60
25,0
20,20
